Date,NAO
1867-1-1,-2.17
1867-2-1,3.63
1867-3-1,-3.03
1867-4-1,3.08
1867-5-1,-2.35
1867-6-1,-1.2
1867-7-1,-1.77
1867-8-1,3.1
1867-9-1,1.13
1867-10-1,0.73
1867-11-1,-1.51
1867-12-1,-0.55
1868-1-1,1.46
1868-2-1,3.95
1868-3-1,2.94
1868-4-1,2.52
1868-5-1,1.35
1868-6-1,2.1
1868-7-1,1.21
1868-8-1,3.02
1868-9-1,-2.65
1868-10-1,1.87
1868-11-1,-0.83
1868-12-1,2.01
1869-1-1,3.25
1869-2-1,3.9
1869-3-1,-1.91
1869-4-1,2.62
1869-5-1,-1.98
1869-6-1,-0.71
1869-7-1,0.29
1869-8-1,1.15
1869-9-1,0.62
1869-10-1,-0.79
1869-11-1,0.79
1869-12-1,-0.69
1870-1-1,0.32
1870-2-1,-1.98
1870-3-1,-2.07
1870-4-1,2.92
1870-5-1,1.55
1870-6-1,0.56
1870-7-1,-0.36
1870-8-1,-3.41
1870-9-1,1.71
1870-10-1,1.3
1870-11-1,-2.04
1870-12-1,-3.52
1871-1-1,0.67
1871-2-1,1.71
1871-3-1,1.15
1871-4-1,-0.32
1871-5-1,-2.5
1871-6-1,-1.37
1871-7-1,1.75
1871-8-1,4.19
1871-9-1,-1.93
1871-10-1,-0.89
1871-11-1,-3.72
1871-12-1,-0.18
1872-1-1,1.15
1872-2-1,0.45
1872-3-1,-1.2
1872-4-1,-0.73
1872-5-1,0.02
1872-6-1,-0.34
1872-7-1,-3.61
1872-8-1,-1.43
1872-9-1,-2.53
1872-10-1,-0.91
1872-11-1,0.67
1872-12-1,-1.09
1873-1-1,2.3
1873-2-1,0.18
1873-3-1,-0.39
1873-4-1,-2.17
1873-5-1,-0.93
1873-6-1,0.78
1873-7-1,-0.12
1873-8-1,3.44
1873-9-1,-0.57
1873-10-1,-0.81
1873-11-1,-2.23
1873-12-1,2.01
1874-1-1,1.56
1874-2-1,2.07
1874-3-1,1.47
1874-4-1,2.99
1874-5-1,-1.85
1874-6-1,-0.76
1874-7-1,0.18
1874-8-1,0.82
1874-9-1,0.74
1874-10-1,0.86
1874-11-1,-0.34
1874-12-1,-2.12
1875-1-1,2.06
1875-2-1,-1.47
1875-3-1,-0.61
1875-4-1,-0.41
1875-5-1,0.89
1875-6-1,1.46
1875-7-1,-1.44
1875-8-1,1.71
1875-9-1,-0.01
1875-10-1,-0.75
1875-11-1,-2.8
1875-12-1,0.08
1876-1-1,1.1
1876-2-1,0.75
1876-3-1,-0.29
1876-4-1,-0.67
1876-5-1,-1.45
1876-6-1,1.71
1876-7-1,3.48
1876-8-1,1.02
1876-9-1,-2.62
1876-10-1,-2.19
1876-11-1,-2.35
1876-12-1,-1.13
1877-1-1,2.39
1877-2-1,1.96
1877-3-1,-0.45
1877-4-1,-2.3
1877-5-1,-1.73
1877-6-1,-0.32
1877-7-1,1.18
1877-8-1,-1.83
1877-9-1,-3.74
1877-10-1,1.25
1877-11-1,2.06
1877-12-1,2.16
1878-1-1,1.18
1878-2-1,2.2
1878-3-1,-0.01
1878-4-1,0.45
1878-5-1,0.28
1878-6-1,-1.54
1878-7-1,-1.93
1878-8-1,-2.46
1878-9-1,-0.95
1878-10-1,-1.44
1878-11-1,-3.47
1878-12-1,-3.31
1879-1-1,-0.71
1879-2-1,0.85
1879-3-1,-0.08
1879-4-1,0.1
1879-5-1,0.63
1879-6-1,-0.5
1879-7-1,-1.57
1879-8-1,-0.29
1879-9-1,1.9
1879-10-1,-1.88
1879-11-1,-3.38
1879-12-1,0.58
1880-1-1,0.42
1880-2-1,1.92
1880-3-1,0.06
1880-4-1,1.66
1880-5-1,-1.78
1880-6-1,0.45
1880-7-1,-1.9
1880-8-1,-0.43
1880-9-1,0.92
1880-10-1,-3.2
1880-11-1,1.19
1880-12-1,0.52
1881-1-1,-3.6
1881-2-1,-1.62
1881-3-1,-0.51
1881-4-1,-1.42
1881-5-1,0.82
1881-6-1,0.01
1881-7-1,2.1
1881-8-1,0.42
1881-9-1,-0.25
1881-10-1,-2.04
1881-11-1,4.34
1881-12-1,2.77
1882-1-1,3.07
1882-2-1,3.2
1882-3-1,3.61
1882-4-1,-0.42
1882-5-1,-0.68
1882-6-1,-0.64
1882-7-1,1.6
1882-8-1,2.05
1882-9-1,0.4
1882-10-1,0.65
1882-11-1,2.01
1882-12-1,-1.69
1883-1-1,1.67
1883-2-1,4.25
1883-3-1,-3.04
1883-4-1,0.88
1883-5-1,-0.54
1883-6-1,-1.75
1883-7-1,-2.25
1883-8-1,3.0
1883-9-1,0.47
1883-10-1,1.68
1883-11-1,2.36
1883-12-1,0.91
1884-1-1,3.32
1884-2-1,1.48
1884-3-1,0.19
1884-4-1,-2.36
1884-5-1,-0.17
1884-6-1,0.5
1884-7-1,-0.8
1884-8-1,2.16
1884-9-1,1.6
1884-10-1,0.27
1884-11-1,-1.16
1884-12-1,1.94
1885-1-1,-0.8
1885-2-1,0.09
1885-3-1,-1.06
1885-4-1,0.36
1885-5-1,0.32
1885-6-1,1.59
1885-7-1,3.07
1885-8-1,-1.03
1885-9-1,1.4
1885-10-1,-0.84
1885-11-1,-0.76
1885-12-1,-0.03
1886-1-1,-1.41
1886-2-1,-0.39
1886-3-1,0.56
1886-4-1,-1.37
1886-5-1,-0.67
1886-6-1,-1.17
1886-7-1,-1.59
1886-8-1,2.43
1886-9-1,-0.34
1886-10-1,-0.55
1886-11-1,0.55
1886-12-1,0.12
1887-1-1,1.9
1887-2-1,2.03
1887-3-1,-0.85
1887-4-1,-2.11
1887-5-1,0.44
1887-6-1,0.06
1887-7-1,0.58
1887-8-1,-1.19
1887-9-1,-2.56
1887-10-1,-1.14
1887-11-1,-3.25
1887-12-1,-1.62
1888-1-1,0.21
1888-2-1,-2.25
1888-3-1,-1.5
1888-4-1,-2.25
1888-5-1,0.97
1888-6-1,-1.7
1888-7-1,0.0
1888-8-1,4.0
1888-9-1,-0.42
1888-10-1,-0.89
1888-11-1,2.7
1888-12-1,1.25
1889-1-1,0.65
1889-2-1,-0.2
1889-3-1,0.11
1889-4-1,1.05
1889-5-1,-0.39
1889-6-1,1.89
1889-7-1,-1.03
1889-8-1,3.78
1889-9-1,-1.98
1889-10-1,-1.23
1889-11-1,2.7
1889-12-1,2.3
1890-1-1,4.32
1890-2-1,-1.37
1890-3-1,0.5
1890-4-1,-0.08
1890-5-1,-1.14
1890-6-1,1.23
1890-7-1,0.3
1890-8-1,0.99
1890-9-1,2.5
1890-10-1,0.85
1890-11-1,1.9
1890-12-1,-2.75
1891-1-1,0.27
1891-2-1,2.81
1891-3-1,-1.17
1891-4-1,-0.92
1891-5-1,-1.78
1891-6-1,-3.74
1891-7-1,-0.54
1891-8-1,2.22
1891-9-1,2.29
1891-10-1,-0.46
1891-11-1,-1.53
1891-12-1,2.86
1892-1-1,-0.77
1892-2-1,-2.21
1892-3-1,-1.53
1892-4-1,-1.14
1892-5-1,-0.57
1892-6-1,-0.47
1892-7-1,0.18
1892-8-1,1.16
1892-9-1,1.61
1892-10-1,-3.68
1892-11-1,0.81
1892-12-1,-1.05
1893-1-1,-1.61
1893-2-1,2.54
1893-3-1,-0.04
1893-4-1,0.04
1893-5-1,0.37
1893-6-1,-0.56
1893-7-1,-1.5
1893-8-1,0.48
1893-9-1,-0.97
1893-10-1,0.32
1893-11-1,-2.16
1893-12-1,1.86
1894-1-1,1.4
1894-2-1,3.95
1894-3-1,1.12
1894-4-1,1.98
1894-5-1,-1.38
1894-6-1,2.78
1894-7-1,1.18
1894-8-1,0.91
1894-9-1,-2.19
1894-10-1,-2.24
1894-11-1,1.96
1894-12-1,0.94
1895-1-1,-2.61
1895-2-1,-4.14
1895-3-1,-0.27
1895-4-1,0.37
1895-5-1,0.51
1895-6-1,-0.2
1895-7-1,1.21
1895-8-1,1.72
1895-9-1,1.15
1895-10-1,-2.53
1895-11-1,1.92
1895-12-1,0.02
1896-1-1,-0.23
1896-2-1,2.33
1896-3-1,1.39
1896-4-1,2.54
1896-5-1,-0.89
1896-6-1,-0.27
1896-7-1,1.23
1896-8-1,-1.02
1896-9-1,0.6
1896-10-1,-2.77
1896-11-1,-0.55
1896-12-1,1.86
1897-1-1,-2.36
1897-2-1,3.32
1897-3-1,2.31
1897-4-1,4.28
1897-5-1,-0.52
1897-6-1,-1.42
1897-7-1,-0.05
1897-8-1,2.49
1897-9-1,1.4
1897-10-1,-0.6
1897-11-1,0.02
1897-12-1,1.35
1898-1-1,1.97
1898-2-1,1.9
1898-3-1,-2.33
1898-4-1,3.46
1898-5-1,-0.53
1898-6-1,-0.84
1898-7-1,-1.53
1898-8-1,3.56
1898-9-1,-0.17
1898-10-1,-1.15
1898-11-1,-1.14
1898-12-1,3.14
1899-1-1,0.68
1899-2-1,-0.17
1899-3-1,-1.5
1899-4-1,0.58
1899-5-1,-1.03
1899-6-1,-0.25
1899-7-1,2.46
1899-8-1,-1.13
1899-9-1,-0.08
1899-10-1,-0.12
1899-11-1,1.94
1899-12-1,-0.87
1900-1-1,1.38
1900-2-1,-2.36
1900-3-1,-3.12
1900-4-1,2.61
1900-5-1,-0.57
1900-6-1,-1.23
1900-7-1,-0.21
1900-8-1,-0.06
1900-9-1,0.98
1900-10-1,-0.57
1900-11-1,0.65
1900-12-1,3.5
1901-1-1,0.98
1901-2-1,-2.58
1901-3-1,-0.91
1901-4-1,2.53
1901-5-1,-0.71
1901-6-1,0.21
1901-7-1,-1.83
1901-8-1,1.14
1901-9-1,-0.09
1901-10-1,-0.47
1901-11-1,-1.73
1901-12-1,-1.38
1902-1-1,1.41
1902-2-1,-1.4
1902-3-1,0.5
1902-4-1,-1.14
1902-5-1,0.54
1902-6-1,-3.25
1902-7-1,-1.24
1902-8-1,-0.18
1902-9-1,-1.51
1902-10-1,-0.12
1902-11-1,-0.09
1902-12-1,1.27
1903-1-1,1.28
1903-2-1,4.86
1903-3-1,4.05
1903-4-1,-0.79
1903-5-1,0.14
1903-6-1,-2.8
1903-7-1,0.43
1903-8-1,3.67
1903-9-1,0.22
1903-10-1,-0.55
1903-11-1,1.04
1903-12-1,-1.09
1904-1-1,2.24
1904-2-1,1.21
1904-3-1,-0.7
1904-4-1,2.64
1904-5-1,1.75
1904-6-1,-0.87
1904-7-1,-0.04
1904-8-1,0.61
1904-9-1,-0.43
1904-10-1,0.04
1904-11-1,0.07
1904-12-1,0.88
1905-1-1,1.81
1905-2-1,2.09
1905-3-1,2.23
1905-4-1,-1.17
1905-5-1,-0.72
1905-6-1,-2.29
1905-7-1,-0.05
1905-8-1,0.97
1905-9-1,-0.19
1905-10-1,-3.1
1905-11-1,-0.25
1905-12-1,1.85
1906-1-1,2.64
1906-2-1,1.26
1906-3-1,-0.25
1906-4-1,1.67
1906-5-1,-1.75
1906-6-1,-1.68
1906-7-1,1.29
1906-8-1,0.38
1906-9-1,-1.33
1906-10-1,0.4
1906-11-1,0.7
1906-12-1,0.03
1907-1-1,1.58
1907-2-1,1.22
1907-3-1,2.41
1907-4-1,1.08
1907-5-1,-1.42
1907-6-1,0.76
1907-7-1,-0.55
1907-8-1,2.22
1907-9-1,0.24
1907-10-1,-1.59
1907-11-1,-0.41
1907-12-1,1.18
1908-1-1,0.64
1908-2-1,1.98
1908-3-1,0.74
1908-4-1,-1.75
1908-5-1,1.92
1908-6-1,0.83
1908-7-1,0.09
1908-8-1,0.6
1908-9-1,0.98
1908-10-1,0.24
1908-11-1,-0.21
1908-12-1,1.47
1909-1-1,1.82
1909-2-1,-0.54
1909-3-1,-2.09
1909-4-1,0.06
1909-5-1,-0.92
1909-6-1,-1.35
1909-7-1,2.59
1909-8-1,2.35
1909-9-1,-1.29
1909-10-1,0.59
1909-11-1,-1.97
1909-12-1,-0.48
1910-1-1,2.57
1910-2-1,3.85
1910-3-1,0.55
1910-4-1,0.08
1910-5-1,-1.5
1910-6-1,-1.07
1910-7-1,-1.64
1910-8-1,0.31
1910-9-1,-1.15
1910-10-1,-1.56
1910-11-1,-0.87
1910-12-1,-0.1
1911-1-1,0.82
1911-2-1,2.05
1911-3-1,-1.4
1911-4-1,-0.24
1911-5-1,0.79
1911-6-1,0.42
1911-7-1,0.54
1911-8-1,0.13
1911-9-1,1.53
1911-10-1,-1.88
1911-11-1,-0.05
1911-12-1,3.02
1912-1-1,-0.91
1912-2-1,-0.17
1912-3-1,2.22
1912-4-1,-0.1
1912-5-1,1.7
1912-6-1,-0.98
1912-7-1,-1.42
1912-8-1,0.07
1912-9-1,-2.51
1912-10-1,0.42
1912-11-1,1.21
1912-12-1,3.0
1913-1-1,1.83
1913-2-1,1.19
1913-3-1,2.73
1913-4-1,1.99
1913-5-1,0.38
1913-6-1,1.03
1913-7-1,-0.99
1913-8-1,0.65
1913-9-1,-2.7
1913-10-1,-1.48
1913-11-1,4.62
1913-12-1,1.23
1914-1-1,0.58
1914-2-1,2.45
1914-3-1,1.72
1914-4-1,2.08
1914-5-1,2.19
1914-6-1,0.57
1914-7-1,-1.11
1914-8-1,0.97
1914-9-1,0.43
1914-10-1,-1.1
1914-11-1,-1.41
1914-12-1,2.23
1915-1-1,0.08
1915-2-1,1.82
1915-3-1,-1.91
1915-4-1,2.91
1915-5-1,-2.47
1915-6-1,-2.3
1915-7-1,-1.19
1915-8-1,-1.29
1915-9-1,-1.94
1915-10-1,-0.99
1915-11-1,-2.51
1915-12-1,-0.65
1916-1-1,3.82
1916-2-1,2.03
1916-3-1,-3.84
1916-4-1,0.77
1916-5-1,-0.72
1916-6-1,-3.03
1916-7-1,-0.69
1916-8-1,-0.57
1916-9-1,-2.59
1916-10-1,2.2
1916-11-1,-0.58
1916-12-1,-1.8
1917-1-1,-3.08
1917-2-1,-1.59
1917-3-1,-0.21
1917-4-1,-0.92
1917-5-1,-1.59
1917-6-1,0.81
1917-7-1,-0.21
1917-8-1,-0.39
1917-9-1,2.47
1917-10-1,0.94
1917-11-1,1.98
1917-12-1,-2.8
1918-1-1,-0.48
1918-2-1,3.87
1918-3-1,0.37
1918-4-1,-1.91
1918-5-1,0.23
1918-6-1,1.31
1918-7-1,-1.97
1918-8-1,1.76
1918-9-1,-0.17
1918-10-1,0.56
1918-11-1,0.26
1918-12-1,2.32
1919-1-1,-0.01
1919-2-1,-0.49
1919-3-1,-0.25
1919-4-1,1.72
1919-5-1,1.35
1919-6-1,1.86
1919-7-1,-1.33
1919-8-1,4.03
1919-9-1,-1.27
1919-10-1,-2.24
1919-11-1,-2.07
1919-12-1,2.86
1920-1-1,2.84
1920-2-1,1.39
1920-3-1,3.08
1920-4-1,0.09
1920-5-1,0.76
1920-6-1,-1.62
1920-7-1,1.87
1920-8-1,-1.22
1920-9-1,0.41
1920-10-1,-1.15
1920-11-1,1.48
1920-12-1,-0.46
1921-1-1,3.2
1921-2-1,0.07
1921-3-1,2.68
1921-4-1,-0.09
1921-5-1,-0.64
1921-6-1,-1.6
1921-7-1,-0.41
1921-8-1,-0.65
1921-9-1,-1.43
1921-10-1,-0.22
1921-11-1,-1.22
1921-12-1,2.18
1922-1-1,0.64
1922-2-1,2.97
1922-3-1,-0.23
1922-4-1,0.8
1922-5-1,2.36
1922-6-1,0.79
1922-7-1,1.79
1922-8-1,0.09
1922-9-1,-0.43
1922-10-1,-3.95
1922-11-1,-0.05
1922-12-1,1.47
1923-1-1,1.84
1923-2-1,2.77
1923-3-1,-0.1
1923-4-1,-1.19
1923-5-1,0.35
1923-6-1,0.53
1923-7-1,1.59
1923-8-1,0.73
1923-9-1,2.64
1923-10-1,1.34
1923-11-1,-1.97
1923-12-1,1.25
1924-1-1,0.86
1924-2-1,-1.62
1924-3-1,-1.88
1924-4-1,-0.94
1924-5-1,-0.55
1924-6-1,-2.09
1924-7-1,0.65
1924-8-1,0.55
1924-9-1,0.71
1924-10-1,0.5
1924-11-1,-0.21
1924-12-1,3.86
1925-1-1,4.23
1925-2-1,1.95
1925-3-1,-2.0
1925-4-1,2.59
1925-5-1,1.12
1925-6-1,-2.2
