No,year,month,day,hour,pm2.5
266,2010,1,12,1,21
267,2010,1,12,2,37
268,2010,1,12,3,26
269,2010,1,12,4,15
270,2010,1,12,5,9
271,2010,1,12,6,11
272,2010,1,12,7,11
273,2010,1,12,8,16
274,2010,1,12,9,13
275,2010,1,12,10,15
276,2010,1,12,11,21
277,2010,1,12,12,24
278,2010,1,12,13,22
279,2010,1,12,14,22
280,2010,1,12,15,22
281,2010,1,12,16,19
282,2010,1,12,17,23
283,2010,1,12,18,25
284,2010,1,12,19,25
285,2010,1,12,20,31
286,2010,1,12,21,25
287,2010,1,12,22,22
288,2010,1,12,23,22
289,2010,1,13,0,15
290,2010,1,13,1,16
291,2010,1,13,2,11
292,2010,1,13,3,11
293,2010,1,13,4,12
294,2010,1,13,5,11
295,2010,1,13,6,12
296,2010,1,13,7,27
297,2010,1,13,8,28
298,2010,1,13,9,34
299,2010,1,13,10,33
300,2010,1,13,11,36
301,2010,1,13,12,26
302,2010,1,13,13,49
303,2010,1,13,14,52
304,2010,1,13,15,47
305,2010,1,13,16,47
306,2010,1,13,17,39
307,2010,1,13,18,59
308,2010,1,13,19,76
309,2010,1,13,20,96
310,2010,1,13,21,95
311,2010,1,13,22,68
312,2010,1,13,23,65
313,2010,1,14,0,75
314,2010,1,14,1,257
315,2010,1,14,2,174
316,2010,1,14,3,164
317,2010,1,14,4,161
318,2010,1,14,5,137
319,2010,1,14,6,92
320,2010,1,14,7,64
321,2010,1,14,8,87
322,2010,1,14,9,87
323,2010,1,14,10,84
324,2010,1,14,11,95
325,2010,1,14,12,79
326,2010,1,14,13,75
327,2010,1,14,14,79
328,2010,1,14,15,86
329,2010,1,14,16,72
330,2010,1,14,17,89
331,2010,1,14,18,94
332,2010,1,14,19,69
333,2010,1,14,20,49
334,2010,1,14,21,33
335,2010,1,14,22,27
336,2010,1,14,23,20
337,2010,1,15,0,36
338,2010,1,15,1,37
339,2010,1,15,2,30
340,2010,1,15,3,18
341,2010,1,15,4,21
342,2010,1,15,5,13
343,2010,1,15,6,23
344,2010,1,15,7,26
345,2010,1,15,8,27
346,2010,1,15,9,30
347,2010,1,15,10,28
348,2010,1,15,11,26
349,2010,1,15,12,26
350,2010,1,15,13,31
351,2010,1,15,14,35
352,2010,1,15,15,36
353,2010,1,15,16,37
354,2010,1,15,17,64
355,2010,1,15,18,83
356,2010,1,15,19,91
357,2010,1,15,20,90
358,2010,1,15,21,102
359,2010,1,15,22,94
360,2010,1,15,23,87
361,2010,1,16,0,141
362,2010,1,16,1,211
363,2010,1,16,2,242
364,2010,1,16,3,271
365,2010,1,16,4,249
366,2010,1,16,5,200
367,2010,1,16,6,147
368,2010,1,16,7,114
369,2010,1,16,8,102
370,2010,1,16,9,108
371,2010,1,16,10,135
372,2010,1,16,11,120
373,2010,1,16,12,148
374,2010,1,16,13,127
375,2010,1,16,14,128
376,2010,1,16,15,140
377,2010,1,16,16,148
378,2010,1,16,17,150
379,2010,1,16,18,154
380,2010,1,16,19,197
381,2010,1,16,20,235
382,2010,1,16,21,261
383,2010,1,16,22,269
384,2010,1,16,23,266
385,2010,1,17,0,263
386,2010,1,17,1,241
387,2010,1,17,2,205
388,2010,1,17,3,160
389,2010,1,17,4,150
390,2010,1,17,5,148
391,2010,1,17,6,208
392,2010,1,17,7,209
393,2010,1,17,8,183
394,2010,1,17,9,161
395,2010,1,17,10,182
396,2010,1,17,11,230
397,2010,1,17,12,170
398,2010,1,17,13,172
399,2010,1,17,14,154
400,2010,1,17,15,166
401,2010,1,17,16,177
402,2010,1,17,17,191
403,2010,1,17,18,212
404,2010,1,17,19,250
405,2010,1,17,20,268
406,2010,1,17,21,317
407,2010,1,17,22,291
408,2010,1,17,23,313
409,2010,1,18,0,282
410,2010,1,18,1,282
411,2010,1,18,2,303
412,2010,1,18,3,349
413,2010,1,18,4,407
414,2010,1,18,5,361
415,2010,1,18,6,234
416,2010,1,18,7,149
417,2010,1,18,8,147
418,2010,1,18,9,184
419,2010,1,18,10,161
420,2010,1,18,11,137
421,2010,1,18,12,146
422,2010,1,18,13,144
423,2010,1,18,14,154
424,2010,1,18,15,173
425,2010,1,18,16,188
426,2010,1,18,17,203
427,2010,1,18,18,233
428,2010,1,18,19,408
429,2010,1,18,20,435
430,2010,1,18,21,403
431,2010,1,18,22,360
432,2010,1,18,23,402
433,2010,1,19,0,358
434,2010,1,19,1,383
435,2010,1,19,2,332
436,2010,1,19,3,274
437,2010,1,19,4,256
438,2010,1,19,5,302
439,2010,1,19,6,330
440,2010,1,19,7,367
441,2010,1,19,8,297
442,2010,1,19,9,331
443,2010,1,19,10,323
444,2010,1,19,11,339
445,2010,1,19,12,301
446,2010,1,19,13,310
447,2010,1,19,14,305
448,2010,1,19,15,313
449,2010,1,19,16,336
450,2010,1,19,17,357
451,2010,1,19,18,485
452,2010,1,19,19,426
453,2010,1,19,20,403
454,2010,1,19,21,374
455,2010,1,19,22,333
456,2010,1,19,23,343
457,2010,1,20,0,364
458,2010,1,20,1,389
459,2010,1,20,2,368
460,2010,1,20,3,267
461,2010,1,20,4,71
462,2010,1,20,5,81
463,2010,1,20,6,51
464,2010,1,20,7,49
465,2010,1,20,8,44
466,2010,1,20,9,45
467,2010,1,20,10,35
468,2010,1,20,11,29
469,2010,1,20,12,27
470,2010,1,20,13,29
471,2010,1,20,14,16
472,2010,1,20,15,23
473,2010,1,20,16,28
474,2010,1,20,17,22
475,2010,1,20,18,11
476,2010,1,20,19,25
477,2010,1,20,20,16
478,2010,1,20,21,20
479,2010,1,20,22,20
480,2010,1,20,23,18
481,2010,1,21,0,18
482,2010,1,21,1,17
483,2010,1,21,2,17
484,2010,1,21,3,17
485,2010,1,21,4,15
486,2010,1,21,5,19
487,2010,1,21,6,16
488,2010,1,21,7,18
489,2010,1,21,8,18
490,2010,1,21,9,18
491,2010,1,21,10,26
492,2010,1,21,11,26
493,2010,1,21,12,25
494,2010,1,21,13,24
495,2010,1,21,14,15
496,2010,1,21,15,17
497,2010,1,21,16,15
498,2010,1,21,17,21
499,2010,1,21,18,40
500,2010,1,21,19,51
501,2010,1,21,20,45
502,2010,1,21,21,61
503,2010,1,21,22,72
504,2010,1,21,23,38
505,2010,1,22,0,35
506,2010,1,22,1,29
507,2010,1,22,2,26
508,2010,1,22,3,18
509,2010,1,22,4,15
510,2010,1,22,5,15
511,2010,1,22,6,22
512,2010,1,22,7,21
513,2010,1,22,8,19
514,2010,1,22,9,22
515,2010,1,22,10,25
516,2010,1,22,11,22
517,2010,1,22,12,26
518,2010,1,22,13,32
519,2010,1,22,14,30
520,2010,1,22,15,32
521,2010,1,22,16,30
522,2010,1,22,17,32
523,2010,1,22,18,37
524,2010,1,22,19,49
525,2010,1,22,20,47
526,2010,1,22,21,39
527,2010,1,22,22,35
528,2010,1,22,23,48
529,2010,1,23,0,49
530,2010,1,23,1,24
531,2010,1,23,2,23
532,2010,1,23,3,20
533,2010,1,23,4,19
534,2010,1,23,5,16
535,2010,1,23,6,22
536,2010,1,23,7,24
537,2010,1,23,8,24
538,2010,1,23,9,41
539,2010,1,23,10,23
540,2010,1,23,11,19
541,2010,1,23,12,15
542,2010,1,23,13,19
543,2010,1,23,14,17
544,2010,1,23,15,17
545,2010,1,23,16,22
613,2010,1,26,12,88
614,2010,1,26,13,85
615,2010,1,26,14,90
616,2010,1,26,15,127
617,2010,1,26,16,144
618,2010,1,26,17,203
619,2010,1,26,18,199
620,2010,1,26,19,231
621,2010,1,26,20,274
622,2010,1,26,21,340
623,2010,1,26,22,298
624,2010,1,26,23,268
625,2010,1,27,0,299
626,2010,1,27,1,300
627,2010,1,27,2,240
628,2010,1,27,3,213
629,2010,1,27,4,171
630,2010,1,27,5,153
631,2010,1,27,6,153
632,2010,1,27,7,140
633,2010,1,27,8,147
634,2010,1,27,9,158
635,2010,1,27,10,153
636,2010,1,27,11,154
637,2010,1,27,12,143
638,2010,1,27,13,90
639,2010,1,27,14,55
640,2010,1,27,15,52
641,2010,1,27,16,41
642,2010,1,27,17,29
643,2010,1,27,18,37
644,2010,1,27,19,49
645,2010,1,27,20,56
646,2010,1,27,21,38
647,2010,1,27,22,37
648,2010,1,27,23,28
649,2010,1,28,0,20
650,2010,1,28,1,22
651,2010,1,28,2,27
652,2010,1,28,3,34
653,2010,1,28,4,27
654,2010,1,28,5,32
655,2010,1,28,6,28
656,2010,1,28,7,28
657,2010,1,28,8,18
658,2010,1,28,9,17
659,2010,1,28,10,16
660,2010,1,28,11,18
661,2010,1,28,12,16
662,2010,1,28,13,12
663,2010,1,28,14,13
664,2010,1,28,15,23
665,2010,1,28,16,21
666,2010,1,28,17,13
667,2010,1,28,18,14
668,2010,1,28,19,23
669,2010,1,28,20,16
670,2010,1,28,21,25
671,2010,1,28,22,20
672,2010,1,28,23,25
673,2010,1,29,0,19
674,2010,1,29,1,24
675,2010,1,29,2,25
676,2010,1,29,3,20
677,2010,1,29,4,24
678,2010,1,29,5,17
679,2010,1,29,6,10
680,2010,1,29,7,11
681,2010,1,29,8,16
682,2010,1,29,9,20
683,2010,1,29,10,13
684,2010,1,29,11,12
685,2010,1,29,12,12
686,2010,1,29,13,12
687,2010,1,29,14,12
688,2010,1,29,15,31
689,2010,1,29,16,36
690,2010,1,29,17,42
691,2010,1,29,18,52
692,2010,1,29,19,26
693,2010,1,29,20,24
694,2010,1,29,21,25
695,2010,1,29,22,43
696,2010,1,29,23,47
697,2010,1,30,0,61
698,2010,1,30,1,66
699,2010,1,30,2,65
700,2010,1,30,3,70
701,2010,1,30,4,36
702,2010,1,30,5,37
703,2010,1,30,6,22
704,2010,1,30,7,24
705,2010,1,30,8,29
706,2010,1,30,9,35
707,2010,1,30,10,35
708,2010,1,30,11,33
709,2010,1,30,12,32
710,2010,1,30,13,25
711,2010,1,30,14,16
712,2010,1,30,15,26
713,2010,1,30,16,32
714,2010,1,30,17,36
715,2010,1,30,18,37
716,2010,1,30,19,45
717,2010,1,30,20,71
718,2010,1,30,21,67
719,2010,1,30,22,69
720,2010,1,30,23,94
721,2010,1,31,0,85
722,2010,1,31,1,35
723,2010,1,31,2,26
724,2010,1,31,3,24
725,2010,1,31,4,20
726,2010,1,31,5,16
727,2010,1,31,6,18
728,2010,1,31,7,19
729,2010,1,31,8,22
730,2010,1,31,9,17
731,2010,1,31,10,18
732,2010,1,31,11,11
733,2010,1,31,12,11
734,2010,1,31,13,16
735,2010,1,31,14,18
736,2010,1,31,15,17
737,2010,1,31,16,19
738,2010,1,31,17,26
739,2010,1,31,18,24
740,2010,1,31,19,54
741,2010,1,31,20,71
742,2010,1,31,21,129
743,2010,1,31,22,145
744,2010,1,31,23,101
745,2010,2,1,0,65
746,2010,2,1,1,70
747,2010,2,1,2,67
748,2010,2,1,3,76
749,2010,2,1,4,76
750,2010,2,1,5,68
751,2010,2,1,6,73
752,2010,2,1,7,73
753,2010,2,1,8,64
754,2010,2,1,9,53
755,2010,2,1,10,72
756,2010,2,1,11,78
757,2010,2,1,12,72
758,2010,2,1,13,56
759,2010,2,1,14,54
760,2010,2,1,15,40
761,2010,2,1,16,49
762,2010,2,1,17,63
763,2010,2,1,18,66
764,2010,2,1,19,64
765,2010,2,1,20,63
766,2010,2,1,21,65
767,2010,2,1,22,64
768,2010,2,1,23,64
769,2010,2,2,0,62
770,2010,2,2,1,56
771,2010,2,2,2,87
772,2010,2,2,3,72
773,2010,2,2,4,104
774,2010,2,2,5,97
775,2010,2,2,6,96
776,2010,2,2,7,86
777,2010,2,2,8,85
778,2010,2,2,9,92
779,2010,2,2,10,55
780,2010,2,2,11,36
781,2010,2,2,12,27
782,2010,2,2,13,25
783,2010,2,2,14,28
784,2010,2,2,15,32
785,2010,2,2,16,35
786,2010,2,2,17,43
787,2010,2,2,18,70
788,2010,2,2,19,83
789,2010,2,2,20,66
790,2010,2,2,21,70
791,2010,2,2,22,80
792,2010,2,2,23,88
793,2010,2,3,0,69
794,2010,2,3,1,71
795,2010,2,3,2,62
796,2010,2,3,3,73
797,2010,2,3,4,107
798,2010,2,3,5,94
799,2010,2,3,6,121
800,2010,2,3,7,132
801,2010,2,3,8,161
802,2010,2,3,9,120
803,2010,2,3,10,72
804,2010,2,3,11,58
805,2010,2,3,12,34
806,2010,2,3,13,14
807,2010,2,3,14,17
808,2010,2,3,15,15
809,2010,2,3,16,23
810,2010,2,3,17,34
811,2010,2,3,18,96
812,2010,2,3,19,87
813,2010,2,3,20,87
814,2010,2,3,21,95
815,2010,2,3,22,105
816,2010,2,3,23,114
817,2010,2,4,0,103
818,2010,2,4,1,99
819,2010,2,4,2,102
820,2010,2,4,3,104
821,2010,2,4,4,78
822,2010,2,4,5,33
823,2010,2,4,6,29
824,2010,2,4,7,27
825,2010,2,4,8,27
826,2010,2,4,9,26
827,2010,2,4,10,33
828,2010,2,4,11,29
829,2010,2,4,12,31
830,2010,2,4,13,28
831,2010,2,4,14,28
832,2010,2,4,15,61
833,2010,2,4,16,64
834,2010,2,4,17,80
835,2010,2,4,18,91
836,2010,2,4,19,79
837,2010,2,4,20,48
838,2010,2,4,21,59
839,2010,2,4,22,82
840,2010,2,4,23,63
841,2010,2,5,0,48
842,2010,2,5,1,54
843,2010,2,5,2,42
844,2010,2,5,3,47
845,2010,2,5,4,87
846,2010,2,5,5,105
847,2010,2,5,6,90
848,2010,2,5,7,101
849,2010,2,5,8,126
850,2010,2,5,9,114
851,2010,2,5,10,103
852,2010,2,5,11,114
853,2010,2,5,12,100
854,2010,2,5,13,72
855,2010,2,5,14,68
856,2010,2,5,15,72
857,2010,2,5,16,71
858,2010,2,5,17,80
859,2010,2,5,18,70
860,2010,2,5,19,63
861,2010,2,5,20,67
862,2010,2,5,21,62
863,2010,2,5,22,69
864,2010,2,5,23,58
865,2010,2,6,0,51
866,2010,2,6,1,51
867,2010,2,6,2,54
868,2010,2,6,3,45
869,2010,2,6,4,47
870,2010,2,6,5,85
871,2010,2,6,6,78
872,2010,2,6,7,68
873,2010,2,6,8,64
874,2010,2,6,9,65
875,2010,2,6,10,80
876,2010,2,6,11,74
877,2010,2,6,12,93
878,2010,2,6,13,77
879,2010,2,6,14,67
880,2010,2,6,15,84
881,2010,2,6,16,77
882,2010,2,6,17,83
883,2010,2,6,18,82
884,2010,2,6,19,100
885,2010,2,6,20,189
886,2010,2,6,21,99
887,2010,2,6,22,71
888,2010,2,6,23,43
889,2010,2,7,0,64
890,2010,2,7,1,68
891,2010,2,7,2,69
892,2010,2,7,3,65
893,2010,2,7,4,71
894,2010,2,7,5,77
895,2010,2,7,6,81
896,2010,2,7,7,88
897,2010,2,7,8,90
898,2010,2,7,9,92
899,2010,2,7,10,88
900,2010,2,7,11,80
901,2010,2,7,12,100
902,2010,2,7,13,105
903,2010,2,7,14,118
904,2010,2,7,15,125
905,2010,2,7,16,141
906,2010,2,7,17,152
907,2010,2,7,18,164
908,2010,2,7,19,147
909,2010,2,7,20,162
910,2010,2,7,21,157
911,2010,2,7,22,156
912,2010,2,7,23,160
913,2010,2,8,0,178
914,2010,2,8,1,187
915,2010,2,8,2,181
916,2010,2,8,3,185
917,2010,2,8,4,197
918,2010,2,8,5,180
919,2010,2,8,6,172
920,2010,2,8,7,166
921,2010,2,8,8,136
922,2010,2,8,9,133
923,2010,2,8,10,140
924,2010,2,8,11,159
925,2010,2,8,12,169
926,2010,2,8,13,170
927,2010,2,8,14,184
928,2010,2,8,15,163
929,2010,2,8,16,140
930,2010,2,8,17,144
931,2010,2,8,18,166
932,2010,2,8,19,196
933,2010,2,8,20,227
934,2010,2,8,21,210
935,2010,2,8,22,233
936,2010,2,8,23,258
937,2010,2,9,0,247
938,2010,2,9,1,230
939,2010,2,9,2,273
940,2010,2,9,3,253
941,2010,2,9,4,254
942,2010,2,9,5,241
943,2010,2,9,6,229
944,2010,2,9,7,199
945,2010,2,9,8,193
946,2010,2,9,9,207
947,2010,2,9,10,176
948,2010,2,9,11,91
949,2010,2,9,12,58
950,2010,2,9,13,39
951,2010,2,9,14,50
952,2010,2,9,15,51
953,2010,2,9,16,49
954,2010,2,9,17,54
955,2010,2,9,18,153
956,2010,2,9,19,181
957,2010,2,9,20,181
958,2010,2,9,21,182
959,2010,2,9,22,156
960,2010,2,9,23,27
961,2010,2,10,0,16
962,2010,2,10,1,22
963,2010,2,10,2,21
964,2010,2,10,3,6
965,2010,2,10,4,8
966,2010,2,10,5,8
967,2010,2,10,6,8
968,2010,2,10,7,10
969,2010,2,10,8,9
970,2010,2,10,9,20
971,2010,2,10,10,14
972,2010,2,10,11,16
973,2010,2,10,12,14
974,2010,2,10,13,10
975,2010,2,10,14,7
976,2010,2,10,15,8
977,2010,2,10,16,12
978,2010,2,10,17,15
979,2010,2,10,18,8
980,2010,2,10,19,11
981,2010,2,10,20,18
982,2010,2,10,21,16
983,2010,2,10,22,11
984,2010,2,10,23,10
985,2010,2,11,0,11
986,2010,2,11,1,10
987,2010,2,11,2,10
988,2010,2,11,3,12
989,2010,2,11,4,12
990,2010,2,11,5,10
991,2010,2,11,6,10
992,2010,2,11,7,9
993,2010,2,11,8,9
994,2010,2,11,9,11
995,2010,2,11,10,12
996,2010,2,11,11,12
997,2010,2,11,12,12
998,2010,2,11,13,21
999,2010,2,11,14,18
1000,2010,2,11,15,13
1001,2010,2,11,16,18
1002,2010,2,11,17,17
1003,2010,2,11,18,19
1004,2010,2,11,19,22
1005,2010,2,11,20,20
1006,2010,2,11,21,24
1007,2010,2,11,22,19
1008,2010,2,11,23,13
1009,2010,2,12,0,17
1010,2010,2,12,1,22
1011,2010,2,12,2,16
1012,2010,2,12,3,16
1013,2010,2,12,4,11
1014,2010,2,12,5,10
1015,2010,2,12,6,9
1016,2010,2,12,7,11
1017,2010,2,12,8,14
1018,2010,2,12,9,21
1019,2010,2,12,10,26
1020,2010,2,12,11,21
1021,2010,2,12,12,19
1022,2010,2,12,13,13
1023,2010,2,12,14,13
1024,2010,2,12,15,13
1025,2010,2,12,16,13
1026,2010,2,12,17,11
1027,2010,2,12,18,19
1028,2010,2,12,19,22
1029,2010,2,12,20,50
1030,2010,2,12,21,58
1031,2010,2,12,22,60
1032,2010,2,12,23,69
1033,2010,2,13,0,108
1034,2010,2,13,1,51
1035,2010,2,13,2,54
1036,2010,2,13,3,38
1037,2010,2,13,4,27
1038,2010,2,13,5,23
1039,2010,2,13,6,27
1040,2010,2,13,7,28
1041,2010,2,13,8,24
1042,2010,2,13,9,26
1043,2010,2,13,10,23
1044,2010,2,13,11,37
1045,2010,2,13,12,46
1046,2010,2,13,13,49
1047,2010,2,13,14,53
1048,2010,2,13,15,57
1049,2010,2,13,16,51
1050,2010,2,13,17,64
1051,2010,2,13,18,100
1052,2010,2,13,19,113
1053,2010,2,13,20,136
1054,2010,2,13,21,213
1055,2010,2,13,22,259
1056,2010,2,13,23,267
1057,2010,2,14,0,351
1058,2010,2,14,1,980
1060,2010,2,14,3,599
1061,2010,2,14,4,39
1062,2010,2,14,5,7
1063,2010,2,14,6,8
1064,2010,2,14,7,7
1065,2010,2,14,8,7
1066,2010,2,14,9,7
1067,2010,2,14,10,16
1068,2010,2,14,11,19
1069,2010,2,14,12,15
1070,2010,2,14,13,21
1071,2010,2,14,14,18
1072,2010,2,14,15,16
1073,2010,2,14,16,15
1074,2010,2,14,17,16
1075,2010,2,14,18,16
1076,2010,2,14,19,21
1077,2010,2,14,20,36
1078,2010,2,14,21,51
1079,2010,2,14,22,67
1080,2010,2,14,23,46
1081,2010,2,15,0,45
1082,2010,2,15,1,27
1083,2010,2,15,2,24
1084,2010,2,15,3,18
1085,2010,2,15,4,15
1086,2010,2,15,5,17
1087,2010,2,15,6,11
1088,2010,2,15,7,16
1089,2010,2,15,8,16
1090,2010,2,15,9,39
1091,2010,2,15,10,25
1092,2010,2,15,11,17
1093,2010,2,15,12,8
1094,2010,2,15,13,11
1095,2010,2,15,14,14
1096,2010,2,15,15,15
1097,2010,2,15,16,15
1098,2010,2,15,17,13
1099,2010,2,15,18,13
1100,2010,2,15,19,26
1101,2010,2,15,20,50
1102,2010,2,15,21,73
1103,2010,2,15,22,96
1104,2010,2,15,23,116
1105,2010,2,16,0,146
1106,2010,2,16,1,113
1107,2010,2,16,2,91
1108,2010,2,16,3,70
1109,2010,2,16,4,65
1110,2010,2,16,5,51
1111,2010,2,16,6,29
1112,2010,2,16,7,30
1113,2010,2,16,8,26
1114,2010,2,16,9,26
1115,2010,2,16,10,24
1116,2010,2,16,11,21
1117,2010,2,16,12,24
1118,2010,2,16,13,39
1119,2010,2,16,14,79
1120,2010,2,16,15,99
1121,2010,2,16,16,118
1122,2010,2,16,17,140
1123,2010,2,16,18,159
1124,2010,2,16,19,161
1125,2010,2,16,20,167
1126,2010,2,16,21,178
1127,2010,2,16,22,192
1128,2010,2,16,23,198
1129,2010,2,17,0,207
1130,2010,2,17,1,237
1131,2010,2,17,2,247
1132,2010,2,17,3,227
1133,2010,2,17,4,176
1134,2010,2,17,5,113
1135,2010,2,17,6,46
1136,2010,2,17,7,18
1137,2010,2,17,8,13
1138,2010,2,17,9,22
1139,2010,2,17,10,15
1140,2010,2,17,11,18
1141,2010,2,17,12,18
1142,2010,2,17,13,12
1143,2010,2,17,14,11
1144,2010,2,17,15,11
1145,2010,2,17,16,12
1146,2010,2,17,17,9
1147,2010,2,17,18,9
1148,2010,2,17,19,27
1149,2010,2,17,20,31
1150,2010,2,17,21,39
1151,2010,2,17,22,49
1152,2010,2,17,23,48
1153,2010,2,18,0,50
1154,2010,2,18,1,38
